Cluster,act_mean,act_std,aldo_mean,aldo_std,ao_mean,ao_std,aqc_mean,aqc_std,at_mean,at_std,bkvlps_mean,bkvlps_std,ch_mean,ch_std,cogs_mean,cogs_std,cshi_mean,cshi_std,cstk_mean,cstk_std,dd1_mean,dd1_std,dd2_mean,dd2_std,dd3_mean,dd3_std,dd4_mean,dd4_std,dd5_mean,dd5_std,dltt_mean,dltt_std,dp_mean,dp_std,dpact_mean,dpact_std,dpc_mean,dpc_std,dt_mean,dt_std,dv_mean,dv_std,dvt_mean,dvt_std,ebit_mean,ebit_std,ebitda_mean,ebitda_std,emp_mean,emp_std,epspi_mean,epspi_std,gdwl_mean,gdwl_std,invt_mean,invt_std,lct_mean,lct_std,lt_mean,lt_std,ni_mean,ni_std,opeps_mean,opeps_std,ppegt_mean,ppegt_std,ppent_mean,ppent_std,prstkc_mean,prstkc_std,pstk_mean,pstk_std,re_mean,re_std,rect_mean,rect_std,revt_mean,revt_std,sale_mean,sale_std,siv_mean,siv_std,teq_mean,teq_std,txp_mean,txp_std,xopr_mean,xopr_std,xpr_mean,xpr_std,xsga_mean,xsga_std,prccd_mean,prccd_std,prchd_mean,prchd_std,prcld_mean,prcld_std,prcod_mean,prcod_std
0,2108.520711140682,1051.4427558297675,128.69286646942822,298.3193496140223,7302.117119879393,2748.073539676581,875.4842500067011,404.10592868609564,52960.97099246991,8747.897782696657,881570.6128433916,140465.42179617783,5652.401176125651,1795.0011891102592,2899.6564601018827,887.4162767515949,4298.564011022127,2618.082206018691,931.4060544497571,222.28839351262837,1141.7307839580656,462.56286915186934,809.3427549011687,253.1350268973977,655.6965356583813,253.41412878501757,482.09988206628105,216.2067288136476,468.3318367981735,227.26013309552215,34057.55739133442,5935.151311388717,383.2246167577275,107.22786307656436,3103.1947293979847,682.3639062075624,409.8054064866846,160.66427534850638,33860.741923091635,5789.671033746244,262.3832948511833,149.0604185609558,293.4355500501506,159.78642674553876,1355.6570448627126,494.3799855200798,1523.8086084623856,507.20476257947433,11.939639339969908,2.9035002943765353,17061635.90494101,186992535.1256255,1626.4863919561606,622.6943494144816,3032.8253980837635,2458.8224125867337,1803.2216210085946,962.7000852798288,50304.96004720507,8198.009743958613,519.921923369216,449.096260323634,2089.52784805296,3807.7544948306468,6563.971421381129,1320.8273542797192,3954.6388705862587,842.9131841240451,258.9899981460239,202.5747222846781,1286.1875968105353,169.8244544165648,3249.5806290127266,976.2538531754749,36786.072383055725,6396.907963146132,4248.305225084311,1212.0877942459547,4237.418154601375,1199.514015468023,8594.588856013648,3227.352030948028,4120.061349074778,1165.5719506095963,82.27670173814924,57.27042653588401,3257.134057837298,967.4600263860976,59.26602523845993,129.19682204241485,674.0189008896946,182.65271549151998,246.23939026895823,,396.6649311202134,,245.86797758289657,,131.2635579532767,
1,34995.95372698439,7446.340446999943,1331.5323631927001,3025.3109113316173,89444.45504573015,37185.46305741616,3343.0512682899207,3792.249614639261,581238.4226890077,78131.26042847107,151.75878861665637,14.471125684830657,45459.40261716737,22388.370786461124,59773.060376459085,15478.045450011778,4120.051952783738,7017.221370845212,10897.51904547391,963.9340553247821,13974.885190530304,4240.9251222286175,5880.33799504505,1566.4666469632214,4570.782588526784,1378.8264956285325,3229.6336932365257,1113.1763951382366,3093.363428974524,1244.7178997718854,55488.28021011575,11502.365620912042,6014.622841435938,1392.6440861314586,55173.78694565232,9163.761531919225,5957.616798639336,1290.8748004832707,39881.79274019856,12505.81010120278,3096.407646111199,1269.0681234138137,3219.9164541372093,2059.1497213784446,12401.582026518958,6490.556806973974,15400.995687803117,6603.120541843318,137.0294731197081,30.580362384547836,5.2781244513555245,4.392423642834262,19653.85023840746,5973.674506292769,14541.80491443793,11573.296431885177,29371.582717362697,5906.7019213522,538802.8186404104,76125.53935466822,8757.866968873013,5928.20041964589,5.8226729918745646,4.32099813332746,100843.52917398735,14628.498529187798,48559.97967906766,9094.614537012289,6330.310436353355,3851.756458139403,4087.740712776828,673.4236942244854,61944.49892397075,15037.403456699985,221873.94963861696,21285.79749159058,67977.0889445014,19566.594284406638,68180.26800578837,19532.416183435012,69369.59377168027,24119.522246642955,64323.780347704786,13367.806167626843,1073.3143272907375,557.5218474907152,60251.123807673524,16512.384047112948,1127.2594449162582,597.2915033348843,10605.516319978293,3039.2773555388035,44867.223986073564,,45014.89702626832,,44536.149434907726,,44702.81602593855,
2,20231.668512631375,30238.530804527923,0.0,0.0,3904.290092321522,7693.694950670767,2384.5997681857316,4134.9374531632975,16828.516168423917,106373.77106436805,41.610250082211714,58.97156817394317,18828.415105366672,12407.570959477756,157875.59894797372,34037.24268435553,273.6851846835062,2937.0035339147867,191.27238431096112,16.88678882411935,4432.923121936585,3151.2274055142266,1987.9600046278597,1260.589143982258,927.7948075948683,701.9975019431246,304.33875862269025,986.9898961071899,116.53119753954316,993.6765078408039,20816.937535657224,29590.456937620533,3290.013406597858,5839.992465099219,24092.330116553694,18672.366488756266,749.6746094139781,2431.9761137269033,18172.78569785051,35061.49407010052,4347.999597516081,48.458458724581504,4347.999597516081,48.458458724581504,6271.330042343492,6220.058968490734,2934.8466953147654,12517.210678771507,968.0433255800073,344.906776810642,3.2377675188720922,11.562012748316631,7851.148012870474,409.575011448794,18736.91548788113,3056.843368653473,9664.523353223383,29342.82383798292,23273.783306652138,64337.403925982166,1388.8991396066172,6979.345697574381,8.543264130295867,16.033655600042906,23189.920442403418,88235.80997951118,972.5472422227732,65331.71324348045,4091.53196797972,781.0930918710694,0.0,0.0,25262.16757534871,25939.038103583305,8293.160461790187,9404.433131006313,156786.92801384942,93769.89984983252,158434.19654668038,91308.8188557006,450.70986232830535,951.7130289300114,5765.24627321388,43150.339954737916,466.83189693935867,200.76819134979726,153852.08131853465,80700.06099962094,915.7742398020712,124.22863827312872,2311.1487451127487,44818.8089079281,104.81797370918788,,104.74903079802219,,104.45027818297086,,103.4285088841563,
