Cluster,"('act', 'mean')","('act', 'std')","('aldo', 'mean')","('aldo', 'std')","('ao', 'mean')","('ao', 'std')","('aqc', 'mean')","('aqc', 'std')","('at', 'mean')","('at', 'std')","('bkvlps', 'mean')","('bkvlps', 'std')","('ch', 'mean')","('ch', 'std')","('cogs', 'mean')","('cogs', 'std')","('cshi', 'mean')","('cshi', 'std')","('cstk', 'mean')","('cstk', 'std')","('dd1', 'mean')","('dd1', 'std')","('dd2', 'mean')","('dd2', 'std')","('dd3', 'mean')","('dd3', 'std')","('dd4', 'mean')","('dd4', 'std')","('dd5', 'mean')","('dd5', 'std')","('dltt', 'mean')","('dltt', 'std')","('dp', 'mean')","('dp', 'std')","('dpact', 'mean')","('dpact', 'std')","('dpc', 'mean')","('dpc', 'std')","('dt', 'mean')","('dt', 'std')","('dv', 'mean')","('dv', 'std')","('dvt', 'mean')","('dvt', 'std')","('ebit', 'mean')","('ebit', 'std')","('ebitda', 'mean')","('ebitda', 'std')","('emp', 'mean')","('emp', 'std')","('epspi', 'mean')","('epspi', 'std')","('gdwl', 'mean')","('gdwl', 'std')","('invt', 'mean')","('invt', 'std')","('lct', 'mean')","('lct', 'std')","('lt', 'mean')","('lt', 'std')","('ni', 'mean')","('ni', 'std')","('opeps', 'mean')","('opeps', 'std')","('optprcgr', 'mean')","('optprcgr', 'std')","('ppegt', 'mean')","('ppegt', 'std')","('ppent', 'mean')","('ppent', 'std')","('prstkc', 'mean')","('prstkc', 'std')","('pstk', 'mean')","('pstk', 'std')","('re', 'mean')","('re', 'std')","('rect', 'mean')","('rect', 'std')","('revt', 'mean')","('revt', 'std')","('sale', 'mean')","('sale', 'std')","('siv', 'mean')","('siv', 'std')","('teq', 'mean')","('teq', 'std')","('txp', 'mean')","('txp', 'std')","('xopr', 'mean')","('xopr', 'std')","('xpr', 'mean')","('xpr', 'std')","('xrd', 'mean')","('xrd', 'std')","('xsga', 'mean')","('xsga', 'std')","('prccd', 'mean')","('prccd', 'std')","('prchd', 'mean')","('prchd', 'std')","('prcld', 'mean')","('prcld', 'std')","('prcod', 'mean')","('prcod', 'std')",Debt_to_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Return_on_Assets_ROA,Return_on_Equity_ROE,Gross_Profit_Margin,Operating_Profit_Margin,Earnings_per_Share_EPS,Cash_Ratio,Inventory_Turnover_Ratio,Quick_Ratio,Cash_Flow_to_Debt_Ratio
0,1172.6330276789085,379.9226494672581,234.95977640753674,533.1077856131035,686.9730021204978,326.571505064616,114.28287018896458,241.0025240927086,7081.172469048577,1659.001678347015,9767.03607764239,4221.4808660074705,463.01111702409304,231.6987887996112,1603.0334022298066,434.7753186928877,290.93926123472545,145.85661351913788,165.93883414328707,42.84938431868782,196.28593675338612,119.78029500335766,213.65630101207128,139.44983355417438,240.60503329856184,182.18413756409464,251.6556683269712,207.27955124220517,292.1131360575475,241.4699798659677,1743.4557477700002,538.9642016245789,148.51882262779498,42.20628942617436,1109.6112505791232,240.85727803214942,152.50400155102236,46.33789070860525,1792.4225829784023,563.2252318724501,224.43270931415975,99.83385882121296,209.17019873314982,96.2235610363049,285.77355297734164,170.75476177425125,425.1558008772212,188.3851107658573,7.124125788527937,1.4405656553036126,13.825492841266405,34.90386586932287,1060.3917282010384,376.50162264383476,468.5771964664449,204.02102014577198,877.8507699226019,288.7499797707548,5456.155638776728,1293.111998416628,141.90042038465683,199.97247462793564,14.657795916445073,35.049352087019294,30.75088698697435,24.793696701047477,2418.1201582791828,538.4314872434755,1158.4284589073422,309.1107580885602,142.9553646712634,128.88233388963144,205.20209448746425,113.62179876242122,634.5009066777588,456.2521364651147,2193.6582406689854,477.111338702651,2491.441582543491,643.5062552949786,2488.273567364801,645.689694594173,1536.9361435914955,667.9810424179068,1593.6471393720237,533.3973223711434,47.73766466991187,27.92016592941097,1795.9431365029745,473.3565768823535,31.38612225404217,17.86297893543819,161.06279816199213,59.04358727322062,426.6410236293223,109.9725414374938,43.17157078655859,5.234783391724256,43.62726661930384,5.345143452379678,42.62821119151889,5.16189764572498,42.807983887797505,4.9127715421867775,1639.0844539597194,30.629323259860865,7164.39769946328,-6.989207251420569,-50.51250754764568,-1098.4110630152236,-25.528767314356966,0.0001591326313714246,231.79382042289123,1516.331887294865,-351.29405650421654,452.03776227048075
1,1419.7353612073061,424.02969312042273,237.18762117772118,537.3533831362108,240213.53936,72020.2586429705,288.81237286834335,1824.308263655076,2268581.92036,281835.78738661285,1754.1763572772352,527.3598780491269,168993.0916266667,66500.35606241846,19400.982906666664,10852.207512192423,6267.985385963079,223.37895507517956,5954.301673598931,817.4379737758958,26766.679773574208,7970.151107276835,7290.873694105994,1693.9595532645349,5443.02465544161,1785.8721508524613,3187.9603571859116,1080.3365119897433,3075.9320059123665,1037.275251105648,564152.4837799999,93302.07266365504,2110.243161116557,373.98918963767113,1543.358912715801,316.56644933592844,3391.580140949452,861.3907122779997,415637.5344674227,71159.23640419522,3965.101128522111,1856.6139483708826,4875.663930486295,1330.05998074785,40204.39435333333,7795.961477284755,41778.58405333333,7068.772325585702,147.91291666666666,10.989002596358539,1.9967333333333337,1.2331792024343344,15553.75581889034,1772.9997359664485,23097.00822928098,17415.425551928154,1122.176457578991,336.52978537204115,2137086.27438,274528.41419556795,10619.637660000002,4806.68397650594,2.1931333333333334,0.9372560594206765,33.25769152757342,22.475025963164647,3806.8883888795012,1526.3872618041685,14962.084262414079,4873.99793346061,4373.890811609637,3107.2704770312225,22387.23811919766,1232.8250399946241,69413.40366000001,20155.067547303785,1086384.2015533333,124572.71873694925,76463.37939666667,15288.784870035195,76477.10360666667,15701.727316393199,247846.27127501223,84503.85969850696,131495.64597999997,11215.939405936744,55.9968546322111,43.08695807563528,34218.19954666667,11424.73709371904,350.3777150702193,98.11175834635763,179.72311232058377,64.2961092782149,14993.688438194755,1411.0974879542016,58.18074418651185,156.90454322089425,62.694844477645596,183.57686475256884,52.986223398298634,136.03177313791147,38.86219205768982,99.1779078767627,29079.240644939397,1.2651623117012059,0.033828626567130815,0.004447699120073531,144.21000289868346,0.7421780179768527,0.12790352303162073,5.820129262695865e-06,5.585561293529336,3.815737687710519,-19.31716952505019,0.013043895765443554
2,78924.69918612074,17643.043952792093,276.663240118835,672.8212376641442,15251.287106666667,6446.094274774672,2733.0166691893073,2943.1992653346288,338137.29422944447,58471.18285180752,60.15281366666666,22.511793757753686,19622.217883888887,7727.992743679462,165580.74735833332,36324.036961518796,6118.718818333333,6830.630588988046,10474.426867777776,464.498287705508,16766.280896666663,5570.445650955163,8215.961128796731,2383.944007459165,7120.728822134877,1850.8977827395483,5621.672196896381,1650.101561650618,5397.66188387355,1937.0768080273494,73316.37327166667,20233.78813975719,16148.85211388889,3141.714802295652,129580.60089166668,23134.443906239077,15677.544277222221,2599.7456022088713,85880.89863421393,23275.94726419633,5991.017930142932,1956.5143916191548,6120.88513026083,1891.8852644475821,22400.178650555557,14024.72701233705,38509.92243111112,14871.384593618659,357.3190425,57.758907412160944,7.059805555555556,6.205500784256494,17954.930021945533,4383.847075621655,17828.01058277778,3400.7013201873647,70692.22462353567,14228.969293520937,200394.47956111113,36947.9097668457,16200.671792222221,11812.41951923371,7.336644444444444,6.195125545792197,36.14841495638011,22.58346684517114,267273.5974861111,39861.53513617235,137692.99659444444,23511.353897524335,6960.765025518514,5089.7161618060345,1159.9875610055037,439.56558382447037,115082.11070666664,27521.410469627233,31179.816458888887,7384.085309846532,231698.34435611108,53057.68416605193,231231.2843561111,53206.65276757847,21125.324505599092,13725.946474986462,137705.18966833333,28512.309837781,1480.7487701293835,766.2404265630723,192721.36192499998,43039.27996689533,1321.401682913237,433.63161612983424,5987.763296969035,2553.0367858488457,27220.026875854302,7629.476929454135,12811.671464794146,12807.118513907499,12914.53254410961,12909.0003166192,12712.653303408548,12709.873584021532,12823.65448766817,12811.351582888505,2059.05079216516,1.1710074629503988,0.7473137714139217,0.04818966821427758,191.53418479897752,0.3131991324311045,0.07354521331672842,0.0035190431514498842,0.25210032263643234,15.103192765393112,-0.2808257582503211,1.0006306581551834
3,22060.910518045832,5186.063033715759,393.70879980156053,943.5203356350411,19158.375258643577,9541.192783473572,196.215342842089,2001.3815998062619,218620.29263117828,38275.1673187674,346.4256213904738,104.10106004990477,12850.628262202987,5448.971912607833,41836.38189869167,10429.196253970502,2131.6132509937797,316.9603795170916,2951.2489626579563,408.36061673115563,4449.848378023677,1731.5754825395684,3096.2664701246617,1149.906957743507,2829.737705709425,1126.682608308713,2268.957342971793,984.333468084619,2266.499289596141,1027.4006939163896,35384.91383224628,9140.389442021595,3326.8049589877432,769.0440228588683,23690.07973881904,4053.321069049338,3053.173098992447,691.9420883038933,27889.41243220237,7869.6928076255645,2149.580886279014,700.0706099868362,2234.645258027463,876.5171188646534,7832.86341880712,3333.5982659995866,11089.493626208665,3676.4098503206806,111.8187320801887,16.027057036488042,4.50081411993526,4.345549104710867,11610.894991453279,3222.3110035005398,10307.697712646008,5156.243373132398,18887.061461132427,4461.603322088478,181736.70426577202,32873.5237042573,4519.346168003846,3368.6756850869524,4.839741556686769,3.7048615214801086,57.26673753189134,29.681724043770835,50100.50614069988,9062.537920353294,26697.924953766236,5756.266891151771,1841.5897640485236,1532.4235797590225,582.2839983511695,286.6550353645747,23126.504408184966,7447.727952045606,63653.88538708749,10954.670035957388,60314.47930718134,14121.417295983492,60305.90246428089,14197.685459798437,10186.4232636832,4136.326769609418,36068.72120560845,8813.302868582256,604.4796625755445,307.7119822069135,49167.672715613255,11467.396552811417,481.6723422575149,222.2418633881767,1513.7489654830097,401.1309749421417,7743.4845312570305,1413.1006836008478,90.07947083605217,18.009697255461415,90.88081459946933,18.12036446986422,89.26707051298736,17.89795373243638,93.34992932199258,12.650535471815457,8700.121672137439,1.1849414798413782,0.6588725646351853,0.03829163457206475,105.685960231544,0.3655853761869907,0.09295059522713872,5.141066843036158e-06,0.6978153589683869,34.485048986783134,-4.272671466815796,0.7237714293524411
