Cluster,"('act', 'mean')","('act', 'std')","('aldo', 'mean')","('aldo', 'std')","('ao', 'mean')","('ao', 'std')","('aqc', 'mean')","('aqc', 'std')","('at', 'mean')","('at', 'std')","('bkvlps', 'mean')","('bkvlps', 'std')","('ch', 'mean')","('ch', 'std')","('cogs', 'mean')","('cogs', 'std')","('cshi', 'mean')","('cshi', 'std')","('cstk', 'mean')","('cstk', 'std')","('dd1', 'mean')","('dd1', 'std')","('dd2', 'mean')","('dd2', 'std')","('dd3', 'mean')","('dd3', 'std')","('dd4', 'mean')","('dd4', 'std')","('dd5', 'mean')","('dd5', 'std')","('dltt', 'mean')","('dltt', 'std')","('dp', 'mean')","('dp', 'std')","('dpact', 'mean')","('dpact', 'std')","('dpc', 'mean')","('dpc', 'std')","('dt', 'mean')","('dt', 'std')","('dv', 'mean')","('dv', 'std')","('dvt', 'mean')","('dvt', 'std')","('ebit', 'mean')","('ebit', 'std')","('ebitda', 'mean')","('ebitda', 'std')","('emp', 'mean')","('emp', 'std')","('epspi', 'mean')","('epspi', 'std')","('gdwl', 'mean')","('gdwl', 'std')","('invt', 'mean')","('invt', 'std')","('lct', 'mean')","('lct', 'std')","('lt', 'mean')","('lt', 'std')","('ni', 'mean')","('ni', 'std')","('opeps', 'mean')","('opeps', 'std')","('optprcgr', 'mean')","('optprcgr', 'std')","('ppegt', 'mean')","('ppegt', 'std')","('ppent', 'mean')","('ppent', 'std')","('prstkc', 'mean')","('prstkc', 'std')","('pstk', 'mean')","('pstk', 'std')","('re', 'mean')","('re', 'std')","('rect', 'mean')","('rect', 'std')","('revt', 'mean')","('revt', 'std')","('sale', 'mean')","('sale', 'std')","('siv', 'mean')","('siv', 'std')","('teq', 'mean')","('teq', 'std')","('txp', 'mean')","('txp', 'std')","('xopr', 'mean')","('xopr', 'std')","('xpr', 'mean')","('xpr', 'std')","('xrd', 'mean')","('xrd', 'std')","('xsga', 'mean')","('xsga', 'std')","('prccd', 'mean')","('prccd', 'std')","('prchd', 'mean')","('prchd', 'std')","('prcld', 'mean')","('prcld', 'std')","('prcod', 'mean')","('prcod', 'std')",Debt_to_Equity_Ratio,Current_Ratio,Asset_Turnover_Ratio,Return_on_Assets_ROA,Return_on_Equity_ROE,Gross_Profit_Margin,Operating_Profit_Margin,Earnings_per_Share_EPS,Cash_Ratio,Inventory_Turnover_Ratio,Quick_Ratio,Cash_Flow_to_Debt_Ratio
0,2351.5011813582837,1201.312326154349,82.67304356653459,221.6081632637398,2946.4965893148665,2059.977390511099,238.18238178573142,411.19645207700074,13689.264249278174,3724.035781303274,30534.311404056454,66632.34836461133,830.4264596103003,422.8038640164184,2683.4068389581234,797.8040256090677,5139.67109910088,2098.4320548296973,691.3680853163893,227.88701303929724,478.0627605309396,347.50884266013486,306.24732292696154,167.09406173377027,278.10658441433947,176.06606261810296,270.9436882365063,176.26760055679918,268.25796482365683,187.6039121010217,2771.5670503210804,922.6366564007436,264.64218316035704,102.53155164171002,2083.95374977198,519.3937589707375,308.3593795339301,174.11081001705656,2727.5278522764143,962.3973544517573,235.99811498253646,110.42447042085948,242.69849058969078,133.22294928419964,660.0343138543132,341.030561574487,839.666172884062,368.43970623021596,17.268961901477336,4.3126009563617265,118.38751746448547,229.8223050411216,1714.7960665203916,687.1598693253416,564.3670316694228,260.1097054659184,1921.7180730813677,1107.1643088013464,11766.052018783965,3194.037935827681,457.5140883525911,417.44732569734055,121.01018677450068,234.87619030234677,160.94227881348223,320.23942240887317,3919.3160555635072,1005.4074411796994,2169.3270246192055,717.8657451959077,282.5303847127827,227.56038056509738,176.368438800729,184.28113860401086,2505.049089320049,941.7645322486954,5741.768685122112,1406.9239787877539,3807.3545859728633,1068.5645268175504,3804.462361411422,1071.3662776556887,1977.275269682352,902.8151385402197,2919.342536750453,1144.3993522816488,52.94631807082019,31.006575320760096,3183.181898625558,897.2639752741103,54.52975623366559,157.40230962732767,257.64487101235466,99.06921143061294,827.0175655518971,219.25338082541512,361.82849955029786,39.675932803653815,363.14990969824515,40.401609506505665,357.6565509250021,38.85755423944928,356.2070612927397,30.015418968096238,23022.639618089706,1004.4619841027895,229872.36750590045,445.8509781530774,2447.9945869951594,62095.464640490565,698.1694328656366,0.0008720760720950431,12365.276152263124,127688.60425232993,21030.76501657205,13598.572266786648
1,0.0,0.0,0.0,0.0,182576.9402509954,85792.1576594555,1124.525748842336,2812.068369861897,613608.7046878997,151455.07119618793,6689.074916812274,2024.793995101575,144931.00841206787,53720.55385859518,14320.66526707655,6844.01166400993,4767.662114311215,281.7928598053814,6496.522908887443,1613.8991872494023,25605.214503324045,7562.213562633744,19295.561083102846,4779.271742309143,14055.451883256826,4705.717744192926,7688.628928125257,2295.8223561582936,7284.348829334885,2068.417744765143,1001685.2468418148,169150.56859505246,1753.390154665652,431.1227507521324,0.0,0.0,2069.6777416548425,862.4070346397572,1069285.1479554398,181135.67860151548,3237.648633498108,2150.1365442664105,4367.74518397186,1054.1308750768628,25261.58909934209,4913.8851550264935,24634.132816138324,5025.359977525339,85.18672001973846,7.228121905077329,2.655482481494429,1.2196480509200949,19888.780492561054,2103.377269441211,35888.280811864715,34052.95044943281,0.0,0.0,607081.3844312672,144189.70559215065,8495.996389283306,2706.1257484649877,2.7366344780892216,0.9744378341711949,19.78964569561147,6.585851610004474,2605.534225588978,3308.9287460896726,10761.369839856945,4406.357631246819,5172.1040114383795,3549.4124862233766,39266.61943612339,1365.5298655101,84683.7846808879,15922.50194108728,784711.78744483,158443.38248306597,31351.576940932715,9028.081037154267,31404.11986809687,9312.33117462725,232310.9605505105,93891.91666362963,79156.82485161135,7211.228435498752,2.6566301486182398,43.9377737532521,21632.793177809035,7665.6595530262775,388.4962391091136,96.95216068152524,0.0,0.0,14283.47512072421,1582.1141925242218,103.97834766427096,413.2153363562501,119.61920266869785,512.6769452089846,86.50857554015958,337.1653650007511,43.94528316371914,211.77476653859875,12971.738219443798,0.0,0.011361421617375243,0.003106864929357701,132.68921809362695,0.1410165377483998,0.061910618192554424,5.398654553796985e-06,4.24858504392177,3.866895716215709,31.980960364549887,0.008940701977941662
2,54672.96781717444,13525.156997020407,176.54033481241808,605.8306629810227,9364.043297651657,7747.062488597357,4252.345850444695,4008.543037632366,138909.12941173205,51840.409492002305,52.2804702462203,31.412213598034715,11929.689087058834,5192.094906329468,100118.12186053192,22369.83865797988,8194.70429450685,18568.550884436037,23848.38664198269,799.6113374290098,23120.545563067502,4919.065026180821,8050.264053668544,2212.2909638870774,6571.62679720715,1654.0711466112637,4880.32772480825,1451.5856107749694,4686.581158171162,1803.781442043065,36815.061958767714,13420.747800652221,7168.456977821156,2655.533325776599,76475.80661264398,14279.869361027044,7512.256510242925,2325.4671259774177,53962.08670689763,17747.534162979886,4356.780246700265,2697.0833353863472,4440.136270651628,2563.1737272525834,17771.345312138503,11689.14504732166,17557.088873580564,11279.1740597089,505.27027442355336,124.03770657950768,8.556145716857717,8.197164760158515,27373.34938094257,7195.589614991851,13609.045105584992,2345.7559962195232,47650.942640533285,11754.492773425105,87484.42867040826,27342.62102679843,15416.030321750222,9235.347560704957,8.981953144098506,8.38513527944559,20.937108487436756,4.259305526486551,119766.88957376489,29130.68382438193,54099.39306601436,22310.1507411563,14891.665915926455,7957.917459384688,2976.5020092246773,1033.314936536561,108814.86237954343,30666.01642595322,24507.180561698115,4660.829257314359,114741.11972903727,39476.87970182197,115426.53232142689,39494.68841374173,42501.23882858429,25654.993607256376,77551.44345415715,25796.092639009203,1512.1968366069168,862.3970886413077,111850.58152294964,33665.78680282621,1244.927875713993,640.7612970033867,10160.407280874511,6318.310554564963,30848.984217331377,16697.41216961623,56996.649110462284,57206.66524974749,57454.054768981165,57661.91918356653,56556.608612826145,56772.13707276589,57028.31764816548,57241.29242472287,2035.5570961549226,0.5222095655573342,0.4955705103087484,0.046360474753653,252.90815761561768,0.1592173079871322,0.06595285548645699,0.015714597234057822,0.5201986512262355,14.134115158143679,3.9936052802290742,0.7830175824835998
3,24098.357550387766,6124.205291228906,1441.4561229098504,3642.7358324381266,38931.22981788767,23844.717054529847,8972.144406876896,3402.773621597567,262257.6200585558,49042.366764256505,2843.2455410383454,860.3150310469122,23522.867350566306,10729.643602983127,38575.226473295406,12157.076173728097,2343.1421704251,813.8020570665259,6592.124063339984,1186.952300436529,7599.991037055967,2934.775808062916,5367.492713560888,1527.0121884998941,4489.809522124079,1331.3830778134713,3372.04033492715,1003.64150437602,3262.2353752607546,1074.1395838229673,36769.52014108554,9762.435810793915,3101.272193415179,954.3312545477565,30245.289670017675,4556.522574888384,2881.0466226047643,803.466327503669,37200.73508345876,11246.036672453,2136.5147051112713,770.5571677978999,2262.6674030548406,1802.8082337558967,6339.14721336245,3633.4124124819714,7994.695125444705,3982.0289404917394,107.48230831914721,23.146966130878187,6.315527166951351,9.211019940291262,15979.568875515732,5470.960999288533,29251.777910048528,24007.07385384253,18633.32410078736,4986.1935397847365,249638.33640070082,47955.99367138086,4597.023017942444,3620.3684482755766,6.464608413276108,9.315229199671785,61.94275421039995,49.34541290418455,48627.42916787898,10043.215480526605,22604.772352804277,6577.016740472554,2622.413591107169,1992.8664944050074,1372.126360574765,607.3161117276601,25980.726506529685,6085.65222074925,134102.42816170494,21999.175458467726,42909.73969657348,14189.54273857667,42907.79723067427,14301.988889722836,24083.764385173003,6845.470009266785,24136.672186244945,8314.522764223817,992.6924537198021,601.1140404833332,41288.08691045067,13208.128902485494,684.2572892978682,501.5204927834148,3136.9455389297596,1273.80786238854,8949.852557035021,2423.5815055997728,112.31327291444913,45.32617970423004,113.28540273735085,45.56937480037699,111.30361222824841,45.04728734563539,121.568091263529,25.164908917815964,47612.03326314506,0.4220175798707128,0.7496589284121031,0.03836523341011624,279.8027435507312,0.21742630544660702,0.07984484935838294,1.4384149496418484e-05,1.7628003138852673,86.78364356472566,26.12228450183635,0.8980379584346628
